self_time	total_time	line	self_time_per_call	method	num_calls	total_time_per_call	file
3.12e-05	0.0010807	882	7.8e-06	"_find_spec"	4	0.000270175	"<frozen importlib._bootstrap>"
1.73e-05	0.0037408999999999997	948	4.325e-06	"_find_and_load_unlocked"	4	0.0009352249999999999	"<frozen importlib._bootstrap>"
3.04e-05	0.0037709999999999996	978	7.6e-06	"_find_and_load"	4	0.0009427499999999999	"<frozen importlib._bootstrap>"
1.84e-05	0.0008981	1009	9.68421052631579e-07	"_handle_fromlist"	19	4.726842105263158e-05	"<frozen importlib._bootstrap>"
7e-06	0.0002024	84	1e-06	"_path_is_mode_type"	7	2.891428571428571e-05	"<frozen importlib._bootstrap_external>"
3.8e-06	0.0001803	93	6.333333333333333e-07	"_path_isfile"	6	3.005e-05	"<frozen importlib._bootstrap_external>"
9e-07	2.6799999999999998e-05	98	9e-07	"_path_isdir"	1	2.6799999999999998e-05	"<frozen importlib._bootstrap_external>"
2.24e-05	6.22e-05	271	2.8e-06	"cache_from_source"	8	7.775e-06	"<frozen importlib._bootstrap_external>"
7.2999999999999996e-06	5.06e-05	369	1.8249999999999999e-06	"_get_cached"	4	1.265e-05	"<frozen importlib._bootstrap_external>"
4.8e-06	5.7e-06	401	1.2e-06	"_check_name_wrapper"	4	1.425e-06	"<frozen importlib._bootstrap_external>"
1.15e-05	2.0399999999999998e-05	438	2.875e-06	"_classify_pyc"	4	5.0999999999999995e-06	"<frozen importlib._bootstrap_external>"
5.4e-06	9.299999999999999e-06	471	1.35e-06	"_validate_timestamp_pyc"	4	2.3249999999999998e-06	"<frozen importlib._bootstrap_external>"
1.4e-05	0.0004366	523	3.5e-06	"_compile_bytecode"	4	0.00010915	"<frozen importlib._bootstrap_external>"
1.38e-05	1.96e-05	574	3.45e-06	"spec_from_file_location"	4	4.9e-06	"<frozen importlib._bootstrap_external>"
9e-07	9e-07	719	2.25e-07	"create_module"	4	2.25e-07	"<frozen importlib._bootstrap_external>"
1.2e-05	0.0032559	722	3e-06	"exec_module"	4	0.000813975	"<frozen importlib._bootstrap_external>"
4.2199999999999996e-05	0.00203	793	1.0549999999999999e-05	"get_code"	4	0.0005075	"<frozen importlib._bootstrap_external>"
2.1e-06	2.1e-06	884	5.25e-07	"__init__"	4	5.25e-07	"<frozen importlib._bootstrap_external>"
9e-07	9e-07	909	2.25e-07	"get_filename"	4	2.25e-07	"<frozen importlib._bootstrap_external>"
0.0011893	0.0013602	914	0.000297325	"get_data"	4	0.00034005	"<frozen importlib._bootstrap_external>"
4.2999999999999995e-06	0.0001312	951	1.0749999999999999e-06	"path_stats"	4	3.28e-05	"<frozen importlib._bootstrap_external>"
6.61e-05	0.0001047	1190	6.61e-05	"_path_hooks"	1	0.0001047	"<frozen importlib._bootstrap_external>"
7.899999999999999e-06	0.0001126	1203	5.642857142857142e-07	"_path_importer_cache"	14	8.042857142857143e-06	"<frozen importlib._bootstrap_external>"
2.0799999999999997e-05	0.0010228	1240	5.199999999999999e-06	"_get_spec"	4	0.0002557	"<frozen importlib._bootstrap_external>"
4e-06	0.0010268	1272	1e-06	"find_spec"	4	0.0002567	"<frozen importlib._bootstrap_external>"
1e-06	1e-06	1325	1.25e-07	"genexpr"	8	1.25e-07	"<frozen importlib._bootstrap_external>"
5.4e-06	9e-06	1319	5.4e-06	"__init__"	1	9e-06	"<frozen importlib._bootstrap_external>"
7.8e-06	2.95e-05	1351	1.95e-06	"_get_spec"	4	7.375e-06	"<frozen importlib._bootstrap_external>"
8.779999999999999e-05	0.0008847	1356	7.316666666666666e-06	"find_spec"	12	7.3725e-05	"<frozen importlib._bootstrap_external>"
1.2e-06	1.8e-06	1433	1.2e-06	"setcomp"	1	1.8e-06	"<frozen importlib._bootstrap_external>"
1.1599999999999999e-05	7.31e-05	1404	1.1599999999999999e-05	"_fill_cache"	1	7.31e-05	"<frozen importlib._bootstrap_external>"
